text,commit message for
[WFLY-4588] Update the Elytron specific configurations within the feature packs so Elytron is used exclusively for authentication.,adding new features
"implemented maven process caching to improve performance, especially in the distributed environment.",improving non-functional requirements
[ALLUXIO-1856] Fix failing unit tests,bug fixing
"CS-15801: cloudstack 3.0 UI - VPC - create new tier - fix an error ""Owner of vpc with specified vpcId is different from the network owner Acct[2-admin]"".",bug fixing
Try to improve performance of MeasurePersister,improving non-functional requirements
iOS: bug fixed & tested the socket/serversocket implementation (working now).,bug fixing
[ALLUXIOå_2788] fix by replace Throwables.propagate with RuntimeException.,bug fixing
Duplicated scenario in cukes.feature,adding new features
Cleanup and improved readability for CloneAndRegisterMachineFromIMachineIfNotAlreadyExists.,improving non-functional requirements
"[JENKINS-22631] The wrong (newer) build was sometimes being marked for fixing, depending on arbitrary directory listing order.",bug fixing
Improve Hive snippet testing.,improving non-functional requirements
remove duplicated scheduled tasks from VpcVirtualNetworkApplianceManagerImpl,commits that belong to no category
CLOUDSTACK-6065: Fix NPE problem caused by the lack of context setup in threads from agent manager thread pool,bug fixing
Repair closing of CoarseChangeFilter and apply it for the autosave feature,adding new features
integrated stapler 1.18 to fix a problem running it in Winstone with whitespace in path,bug fixing
Network-refactor: fix bugs in components.xml discovered by unit tests,bug fixing
Change zadd parameter order to allow duplicated scoremembers but not members,commits that belong to no category
Merge pull request #709 from pveentjer/improvement/3.maintenance/versionasint-exception-improvement,improving non-functional requirements
"Update views.html

Clarified ""localized templates"" feature in the tip box.",adding new features
"Add ""Extreme Fitness Tracker Free"" to featured list",adding new features
Improve performance of TestDatabase,improving non-functional requirements
restore endpoint-publish feature on server side,adding new features
Added description of the key generation regxp replace feature.,adding new features
"cloudstack 3.0 UI - fix a JS error ""selectedNetworkOfferingObj is not defined""",bug fixing
bug 11441: cloudStack - host page - Edit Host - fix a bug that hosttags editing field didn't get refresh when clicking different hosts in middle menu.,bug fixing
"[FIXED HUDSON-5776] fix serialization problem with empty CopyOnWriteMap.Tree,",bug fixing
improved cast to enum performance,improving non-functional requirements
dead-504: Remove duplicate cloud-set-guest-password script,commits that belong to no category
"improved OStorageRemote testability, added unit test for remote async operation management.",improving non-functional requirements
bumped up to 0.8 to fix IE7 rendering problem,bug fixing
avro-extensions -- feature to specify avro reader schema inline in the task json for all events (#3249),adding new features
CLOUDSTACK-6047: Fix fail to enable VPN,bug fixing
Improve performance by preventing dead connection from being processed,improving non-functional requirements
Distributed: improved performance,improving non-functional requirements
appliance: fix branch finding method from e16414e even Junio can be wrong,bug fixing
"made sure that even if a bug similar to what was just fixed in the previous commit re-surfaces, we still won't kill the master JVM by eating its memory",bug fixing
bug 9493: fixed the bug in Basic zone when nic_count was updated incorrectly due to multiple domRs per network,bug fixing
cloudStack - Cluster page - fix a bug that Manage Cluster action showed wrong message.,bug fixing
[ALLUXIO-1910] Fix failing style checks,bug fixing
HBASE-11362 Minor improvements to LoadTestTool and PerformanceEvaluation (Vandana Ayyalasomayajula),improving non-functional requirements
"refactoring, performance improvements by using array vs. lists",improving non-functional requirements
new UI - instance page - fix a bug that top message doesn't show new password after reset pasword for VM succeeds.,bug fixing
CLOUDSTACK-7691: Fixed 'Exception not raised' issue in test_project_limits.py,bug fixing
"AVRO-464: Work in progress on performance enhancements, including atom-based API, changing structure of records and arrays to not use hash tables as much. This changes the API incompatibly!",improving non-functional requirements
[SECURITY-225] Fix failing tests,bug fixing
Add content text to feature toggles. Landscape on large and up only.,adding new features
More cucumber-features passing,adding new features
"new UI - fix a bug that account failed to udpate resource limit (""resourcetype is wrong).",bug fixing
Combined features from JBPM-4526 (reoccurring jobs) and BZ-1171859-history log cleanup to provide possibility to schedule automatic cleanup of logs in background job,adding new features
5784: Fixed a log rotation configuration problem on openSUSE.,bug fixing
[WFLY-4872] Add configuratios to the servlet-feature-pack that contain the Elytron subsystem.,adding new features
HDFS-7433. Optimize performance of DatanodeManager's node map. Contributed by Daryn Sharp.,improving non-functional requirements
[WFLY-9008] Add licenses to the servlet-feature-pack,adding new features
CLOUDSTACK-1840: cloudstack UI - VM Wizard - fix a bug that the first parameter in jQuery.grep() should not be null.,bug fixing
CloudStack - Add Network Dialog - fix a bug that & is missing between isShared parameter and isDefault parameter in createNetwork API call.,bug fixing
Summary: Fix exception handling in security_group.py,bug fixing
"bug 7582: there was an error in re-starting user vm, due to the master refactor which happened. Fixed that regression",bug fixing
bug 10433: fix a bug that was caused by global zone name cache.,bug fixing
removed 'messages around' feature for now #ES,adding new features
"New aggregations feature - ï¿½PercentageScoreï¿½ heuristic for significant_terms aggregation provides simple ï¿½per-capitaï¿½ type measures.

Closes #9720",adding new features
[TK-3119] Fix NPEs and improve exception handling + error messages,bug fixing
Improve the sync block performance,improving non-functional requirements
Implemented push-to-emacs feature. Improved ISI importer. Changed MedlineFetcher.fetchMedline to static. Added first version of Toralf Senger's key generator patch.,adding new features
new UI - resource page - fix a bug that nothing happened when clicking Add Zone button after splitting resource.jsp into 7 JSP file.,bug fixing
"Intorducing pluggable element wrappers. This should lead to a performance improvement for libraries that use Blueprints - Instead of wrapping elements as RawElement->Neo4j2Element->LibrarySpecificElement, we can do RawElement->LibrarySpecificElement directly, and improve memory usage. As part of this commit, some additional cast operations were removed (to, hopefully shave a few more milliseconds). NOTE: The code passes the test suite, but still needs some minor cleanup.",improving non-functional requirements
Java-Helloworld: Correct the indentation of helloworld.feature,adding new features
"bug 7659: fix the race condition that agent inside systemvm connecting to mgt server at the head of startcommand returning to mgt server, then got a NPE. and fix bugs in security group of KVM",bug fixing
clean code and some bug fix,bug fixing
bug 9344: fixed problems with the template table,bug fixing
[ALLUXIO-1949] Fix failing unit tests,bug fixing
new UI - ip address page - fix a bug that newly created port forwarding rule appear on every IP.,bug fixing
"CLOUDSTACK-5980: Fix test case failing with ""Error reading SSH protocol banner"" ssh error",bug fixing
"Import the new n-gram tokenizers and filters from Lucene.

Lucene 4.4 will feature new n-gram tokenizers and filters that should not
generate broken offsets (that cause highlighting bugs) anymore. They also
correctly handle supplementary characters and the tokenizers can work in a
streaming fashion (they are not limited to the first 1024 chars of the
stream anymore).",adding new features
Added whitespace trimming to Entry Editor.  Added deliminator-based AutoGrouping to Group feature (like separate keywords by comma).,adding new features
"IP Address page - fix a bug ""networkObj.service[0] is undefined""",bug fixing
"SONAR-5490 Improve readability and payload of results in the page ""Rules""",improving non-functional requirements
OPLA: improved performance with variable management (avoiding copy for most of the cases),improving non-functional requirements
Fix for IndexOutOfBoundException in invalid connect process to failing SSVM.,bug fixing
"[STORE] Move to on data.path per shard

This commit moves away from using stripe RAID-0 simumlation across multiple
data paths towards using a single path per shard. Multiple data paths are still
supported but shards and it's data is not striped across multiple paths / disks.
This will for instance prevent to loose all shards if a single disk is corrupted.

Indices that are using this features already will automatically upgraded to a single
datapath based on a simple diskspace based heuristic. In general there must be enough
diskspace to move a single shard at any time otherwise the upgrade will fail.

Closes #9498",adding new features
All cucumber-features scenarios are green. Closes #45.,adding new features
Improve readability of schema-h2.ddl,improving non-functional requirements
[TACHYON-1582] Fix a bug introduced in IDE refactoring,bug fixing
"[FIXED HUDSON-1882] If ""svn update"" fails because a local file is colliding with newly added files, revert to check out. This fix is in 1.228.",bug fixing
Small performance improvement in Cache,improving non-functional requirements
Explicitly add Google URL cleaner as feature,adding new features
Optimize memory management and performance for graph rendering in Studio,improving non-functional requirements
"cloudstack 3.0 UI - security group - ingress rule - fix a bug that Account, Security group failed to be translated.",bug fixing
bug 13362: fix error message in StorageManagerImpl.java,bug fixing
Improved performance on fetch plan processing issue #4442,improving non-functional requirements
"Improved readability of code for IMap.values() and IMap.values(Predicate), e.g. newlines, moved declarations to usage, new sub-methods. Sorted methods per superclass and/or from public to private. Added @Override to methods.",improving non-functional requirements
[FIXED JENKINS-9634] fixed a bug in the Mac OS X arg parsing code,bug fixing
HADOOP-6502. Improve the performance of Configuration.getClassByName when the class is not found by caching negative results. Contributed by Sharad Agarwal and Todd Lipcon.,improving non-functional requirements
[TACHYON-1602] Fix bug with exception type,bug fixing
bug 7022: fixing the custom size for volumes bug,bug fixing
Merge pull request #1512 from gpang/master_testing_improvement,improving non-functional requirements
use the latest HtmlUnit to fix the test failure caused by YUI 2.9,bug fixing
More performance enhancements for Local* classes,improving non-functional requirements
Unsafe byte array comparator performance was improved,improving non-functional requirements
ISPN-1780 Improve performance of DefaultConsistentHash.locateInternal,improving non-functional requirements
AS7-5826 Multi-JSF feature,adding new features
improved performance for BeanToArray parse,improving non-functional requirements
"Remove the ability to enable doc values with the `fielddata.format` setting.

Doc values can now only be enabled by setting `doc_values: true` in the
mappings. Removing this feature also means that we can now fail mapping updates
that try to disable doc values.",adding new features
CLOUDSTACK-6047: VR resource testing improvements,improving non-functional requirements
"MAHOUT-767 Improve RowSimilarityJob performance, threshold integration",improving non-functional requirements
Improved performance on type checking on alter property,improving non-functional requirements
[ISPN-169] (Improve the performance of Fqns by backing with an immutable array rather than a list),improving non-functional requirements
Minor: improved performance,improving non-functional requirements
CORE-864 loaddata performance enhancement,improving non-functional requirements
[TACHYON-470] Fix failing unit tests --- some are obsolete,bug fixing
[TACHYON-1311] Fix a failing unit tests on proto buf,bug fixing
CLOUDSTACK-5674: cls.fail does not work in setUpClass fixed it with assert.,bug fixing
"Remove back compat for the `path` option.

The `path` option allowed to index/store a field `a.b.c` under just `c` when
set to `just_name`. This ""feature"" has been removed in 2.0 in favor of `copy_to`
so we can remove the back compat in 3.x.",adding new features
[TACHYON-1106] Fix failed unit tests,bug fixing
improved get statdata performance.,improving non-functional requirements
pick up 1.36 for an improvement in the export feature.,adding new features
"Deprecate ProvisionListener.ProvisionInvocation.getDependencyChain()

A benchmarking experiment* shows that maintaining the dependency stack costs about 10% of guice performance.  Anecdotally this feature also isn't very popular, so eliminating it seems reasonable.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=131748522",adding new features
[JENKINS-34228] Fixed IOException in DeleteBuildsCommand class,bug fixing
[FIXED HUDSON-2552] Applied a modified version of the patch that improves the usability and code reuse,improving non-functional requirements
Issue 55 enhanced integration tests to support redirect testing,improving non-functional requirements
Removed duplicate code in CitrixResourceBase.getPatchFiles,commits that belong to no category
Worker network testing improvements,improving non-functional requirements
bug 11045: Fix exception exit of CheckRouterTask,bug fixing
"IP Address page - fix a bug ""networkObj is undefined"" when login as user-role.",bug fixing
new UI - fix a bug that domain tree doesn't show 2nd-level or lower level.,bug fixing
bug 9259: removed some of the extra vpn statements duplicated from my change and chiradeep's change,commits that belong to no category
Filters usability improved by automatically open/close settings panel,improving non-functional requirements
Updates for the max selectbox list feature.,adding new features
1. Change name Partition to File in DataServerMessage. 2. Add equal method to checkpointinfo. 3. fix a bug in dataserver.,bug fixing
Reworking rename call to reduce rpc calls and fixing a bug with the rename integration tests,bug fixing
AVRO-354. Performance improvement to BinaryDecoder.readInt(),improving non-functional requirements
CLOUDSTACK-537: cloudstack UI - Advanced SG-enabled zone - VM Wizard - fix a bug that networkID was not passed to API call when selected networks don't include security group service.,bug fixing
CLOUDSTACK-2351: (1) object store - listStorageTypes API has been changed to return 'NFS'. Here is related UI change. (2) Infrastructure menu - secondary storages- add secondary storage dialog - fix a bug that this dialog failed to pop up when there is zero zone.,bug fixing
"cloudstack 3.0 new UI - create network offering - fix a bug that servicecapabilitylist was still passed to API when corresponding service is not selected.  (API returns error: ""Capabilities for LB service can be specifed only when LB service is enabled for network offering."")",bug fixing
HTML formatter produces empty report if no features run. Closes #191,adding new features
Added Content Protection and Scaling Features,adding new features
CLOUDSTACK-109: cloudstack UI - (1) account page: fix a bug that system-generated default admin account wrongly had enalbe/disable/lock/remove option. (2) user page - fix a bug that system-generated default admin account user wrongly had enable/disable/remove option.,bug fixing
Simplified setup and a bit more in the demo feature.,adding new features
cache module directory to improve CI performance (#5025),improving non-functional requirements
"MAHOUT-749: Implemented multiple reducer approach from Jira patch, plus a scalability enhancement to avoid accumulating merged clusterIds if -cl option is not present. The defaults are for the same behavior as before.  All tests run though this needs more testing to see how it really scales",improving non-functional requirements
make WebServiceRef feature complete,adding new features
Remove duplicated constants that are now available.,commits that belong to no category
Improve readability and documentation,improving non-functional requirements
improved performance for decode int[]/float[]/float[][] fieldType.,improving non-functional requirements
"RPMs: Add timeout to shutdown with KILL signal

If the thread pools of an elasticsearch node cannot be shutdown
immediately, a wait of 10 seconds is added. This clashes with the
RPM scripts, as by default the init functions wait for 3 seconds
for a service to shutdown before a KILL signal is sent, resulting
in an unclean shutdown - not from an elasticsearch point of view,
but from init system point of view, as some lock files are left
around.

In order to prevent this the init script as well as the systemd
configuration now feature the same timeout than the debian package,
which is 20 seconds.

The await statement, which causes the 10 second delay can be found in
InternalNode.close()",adding new features
HBASE-6109 Improve RIT performances during assignment on large clusters (N Keywal),improving non-functional requirements
added concurrent CCPbH implementation w/ ~ 8% performance improvement in stress testing and significantly cleaner dead client and host removal semantics,improving non-functional requirements
Create DB views to improve ListHostsCmd performance.,improving non-functional requirements
SECOAUTH-68: use @MVC features in sparklr2,adding new features
Removed a duplicate method,commits that belong to no category
bug 7018: fixed an issue where dialog boxes were not correctly being cleaned up when you navigated in the UI.  Essentially they were being duplicated.,commits that belong to no category
"cloudstack 3.0 UI - VPC - add LB rule - fix a JS error ""args.context.networks is undefined"" when configure stickiness.",bug fixing
Improve skip scan filter performance for the IN case,improving non-functional requirements
"Add version to prebuilt analyzers

This patch takes the version of the created index into account when a
prebuilt analyzer is created.
So, if an index was created with 0.90.4, then the prebuilt analyzers
will be the same than on the 0.90.4 release.

One reason for this feature is the possibility to change pre built
analyzers like the standard one.

The patch tries to reuse analyzers as mutch as possible. So even if
version X.Y.Z and X.Y.A use the same lucene analyzers, the same instance
is reused in order to prevent overcreation of lucene analyzer instances.

Closes #3790",adding new features
improved serialize performance,improving non-functional requirements
Issue #2901 pool performance was improved up to 255 000 ins/s in benchmark.,improving non-functional requirements
Notes re possible performance improvement via system property.,improving non-functional requirements
"[FIXED HUDSON-3983] The root cause of the problem is that the ""test e-mail"" feature wasn't using the SMTP auth values as currently entered in the form, but it was picking up values from what Hudson is currently configured with. This is fixed in 1.325.",bug fixing
YARN-1751. Improve MiniYarnCluster for log aggregation testing. Contributed by Ming Ma,improving non-functional requirements
SONAR-6959 Performance improvements,improving non-functional requirements
Improve readability and completeness of PrintModelProcessor output,improving non-functional requirements
Allow login modules with duplicate code within same security domain,commits that belong to no category
implement subscription forward to feature.,adding new features
Improved performance of Dijkstra and shortest path algorithms,improving non-functional requirements
"o added @StepDefinitions annotation, to register all the steps for a feature",adding new features
CLOUDSTACK-6511: fixed for bvt and component test failures,bug fixing
bug 10352: fixed the issue.  I mistakenly threw an exception when I was not suppose to,bug fixing
HDFS-11353. Improve the unit tests relevant to DataNode volume failure testing. Contributed by Yiqun Lin.,improving non-functional requirements
added liquibase.serviceLocator.loglevel system property.  Performance improvement on reading from jars,improving non-functional requirements
Removed duplicate code from FileHandle,commits that belong to no category
Improved performance on fetch plan processing issue #4442,improving non-functional requirements
[UI] bug fix: the host uuid is wrong if it is dedicated to a domain,bug fixing
Updated New Features section,adding new features
update volumes.path to fix stop/start vm error after,bug fixing
[ALLUXIO-1856] Fix failing unit tests,bug fixing
Improved performance on cloning of OMVRBTreeRID objects during query: all the items were copied!,improving non-functional requirements
bug 13461: deployVM wizard - select ISO step - fix a bug that hypervisor div didn't get removed if ISO in another tab is selected (select ISO step has 3 tabs now).,bug fixing
"better support for basic security in templates, other integration testing improvements",improving non-functional requirements
BroadleafCommerce/QA#2946 - Refactor to reduce duplication & enhance readability,improving non-functional requirements
dead-3797: remove duplicate packages from base.sh already in postinstall.sh,commits that belong to no category
add search timeout feature.,adding new features
[FIXED HUDSON-8106] fixed an abstract error.,bug fixing
HBASE-7625 Remove duplicated logFSTree() from TestRestoreFlushSnapshotFromClient (Matteo Bertozzi),commits that belong to no category
integration testing work and other improvements,improving non-functional requirements
JBRULES-2642 Getting tests working for new updated parser.\n improved test readability,improving non-functional requirements
[UI] bug fix: fix update Networks in sub-domain issue by adding listAll=true in listNetworks,bug fixing
"Enable strict duplicate checks for all XContent types (#22225)

With this commit we enable the Jackson feature 'STRICT_DUPLICATE_DETECTION'
by default for all XContent types (not only JSON).

We have also changed the name of the system property to disable this feature
from `es.json.strict_duplicate_detection` to the now more appropriate name
`es.xcontent.strict_duplicate_detection`.

Relates elastic/elasticsearch#19614
Relates elastic/elasticsearch#22073",adding new features
[ALLUXIO-1839] Improve readability.,improving non-functional requirements
introduced the Graph class to improve the OO-ness of the model classes. This should also improve testability a bit.,improving non-functional requirements
"What's new and migrating are prominently featured

Before this commit those were burried in the Appendix where few would
guess to look. Previously that information was at the top, so it makes
sense to point to the Github wiki from the index HTML page.

Also a general update of the index page. Since we have recently revised
the overview, we can simply point to it and keep it shorter.

The section listing now includes more details per section.",adding new features
tools/apidoc: Fix the bug when build apidoc under windows cygwin environment,bug fixing
Update explicit feature path (but keep it commented out),adding new features
improved test performances for sq #3 (use MetaDataHandler for MySQL),improving non-functional requirements
"SQL min: fixed bugs introduced by last Adolfo's commit. Improved performances avoiding to have a temporary array in memory, but rather used the iterator",improving non-functional requirements
"new UI - Add Host button displays on host page now. fix a bug (""podObj is not found"") that appears when clicking Add Host button on host page without visiting pod page first.",bug fixing
project-based security option should only show up when the feature is in use.,adding new features
improved performance for android,improving non-functional requirements
"CLOUDSTACK-3759 [Automation] Failed to attach volume to VM, while vm are in stopped state Fix the null pointer.",bug fixing
"Add virtual column types, holder serde, and safety features. (#3823)",adding new features
SONAR-3104 Improve the usability of the project 'History' page,improving non-functional requirements
Refactored and improved hideSoftKeyboard(),commits that belong to no category
allow ability to specify tableName in indexExists precondition in case implementations can make performance improvements,improving non-functional requirements
HADOOP-6394. Add a helper class to simplify FileContext related tests and improve code reusability. Contributed by Jitendra Nath Pandey.,improving non-functional requirements
HIVE-3388 Improve Performance of UDF PERCENTILE_APPROX() (Rongrong Zhong via Siying Dong),improving non-functional requirements
"executeOnKeys(keys,entryprocessor) introduced on IMap. With this feature you can run entry processor on a set of keys",adding new features
IP Address - load balancer page - fix a bug that algorithm dropdown didn't show the right value in edit mode.,bug fixing
CLOUDSTACK-6342: UI - Load Balancing page - LB rules - VM + IP Address - fix a bug that vmidipmap was not sent to API.,bug fixing
more cross platform support and bug fix,bug fixing
Merged duplicated code to set window icons in Lwjgl3Application and Lwjgl3Window.,commits that belong to no category
"bug 10222: fixed issue with associate ip introduced more than one nic.  The problem is that associate ip automatically creates a nic but doesn't have sufficient information to properly creates so it uses what it knows for sure is the naming pattern to do it.  However, we changed the naming pattern and it broke.  I fixed it by passing all of the information in the ipaddressTO object.",bug fixing
[SMALLFIX] Fix a wrong whitespace change.,bug fixing
update create build introduce functionality behavior modify modification,adding new features
Our first cucumber-features scenario is passing.,adding new features
[FIXED HUDSON-2230] Fixed IllegalMonitorStateException. In 1.249.,bug fixing
bug 9638: fixed bunch of DB upgrade bugs,bug fixing
Merge pull request #6613 from serkan-ozal/enhancement/master/osgi-testing,improving non-functional requirements
BroadleafCommerce/QA#2082 - Further refactoring to clean up logic and enhance readability.,improving non-functional requirements
prevent duplicate module entries : still failing for a correct module tree,commits that belong to no category
CLOUDSTACK-9208: Assertion Error in VM_POWER_STATE handler- Fixed,bug fixing
[JENKINS-32765] Fix failing tests,bug fixing
HBASE-18660 Remove duplicate code from the checkAndPut method in HTable (Yun Zhao),commits that belong to no category
[ISPN-97] - Improve configuration processing and maintenance,improving non-functional requirements
buffering to improve performance.,improving non-functional requirements
"IN PROGRESS - issue TRUNK-2874: Improved error message when you try to install in testing mode, and the Release Testing Support module is not installed",improving non-functional requirements
moving duplicate code to separate method. step 2,commits that belong to no category
CLOUDSTACK-6600: fix a bug in IAM cache in constructing cache key.,bug fixing
carve out EC2Api/EC2AsyncApi for new features,adding new features
secondary storage - fix a bug that newly created secondary storage has duplicate copy.,commits that belong to no category
picked up stapler 1.66 for a bug fix to issue #1443.,bug fixing
new UI - host page - fix a bug that add host dialog and add primary storage dialog don't pop up.,bug fixing
[FIXED JENKINS-9062] Fixed a bug in persisting user configuration that causes NPE in some plugins,bug fixing
"gles 2.0 is working, need to fix up getting the position of a direct buffer in iosgles20.cpp, otherwise vertex arrays won't work. This is still a bit to easy, something must be wrong",bug fixing
Minor: slightly improved performance of common methods,improving non-functional requirements
"Javascript: bug fixes, clean-ups, tests",bug fixing
bug 10375: fixed a problem with build name,bug fixing
read all maven project in one time instead of repeating project read : definitely improve performance for project with a lot of modules,improving non-functional requirements
Ensure glue and feature path if system properties don't set them.,adding new features
"[iphone] now decoders need to be injected into ZXingWidgetController to enhance performance when only a few readers are needed. One exc bad access bug solved. A few minor bugs remain in ScanTest. 1st status bar does not reappear when success of scan. this one should be easy to fix. 2nd ScanTest does not display the results when scan success for the first time, but only second time. This second bug is strange",improving non-functional requirements
"new UI - Add Host button displays on Primary Storage page now. fix a bug (""podObj is not found"") that appears when clicking Add Host button on Primary Storage page without visiting pod page first.",bug fixing
bug 11361: removing duplicate entries from message.properties,commits that belong to no category
bug 7276: fix syntax error in html code. (merge from 2.2.beta1 branch to master branch),bug fixing
bug 12859: cloudstack 3.0 new UI - systemVM page - migrate action - fix a bug that passed an empty virtualMachineId to API.,bug fixing
Improve MathUtils code performance when getting all statistics.,improving non-functional requirements
bug 10416: fixed the bug in agentLoadBalancerPlanner,bug fixing
Disabled unfinished link-upgrade-feature to avoid annoyance for CVS users.,adding new features
"add checks for: NetworkType, NetworkConfiguration, IpScope, NetworkFeatures, SyslogServerSettings, RouterInfo, NetworkService, IpRange(s), IpAddress(es)",adding new features
"IP Address page - fix a bug ""networkObj is undefined"" when login as user-role.",bug fixing
AS7-4547 Removed the setting of -XX:+TieredCompilation from the standalone.sh file to improve throughput on performance benchmarks.,improving non-functional requirements
implemented a fix for the data-loss problem.,bug fixing
Store: small performance improvement on deserialization,improving non-functional requirements
GWT: Fixed SuperJumper compile error,bug fixing
"whilst testing my enh, found that this call was using the wrong method name. Checking in the fix for the same.",bug fixing
Fixed bug on ObjectDatabase method discovering and optimized it for performance,improving non-functional requirements
Hazelcast Client performance enhancements:,improving non-functional requirements
Issue #2901 pool performance was improved up to 255 000 ins/s in benchmark.,improving non-functional requirements
[SMALLFIX] Fix failed setTtl test,bug fixing
"Remove duplicate prop type, move mixin declaration to proper place.",commits that belong to no category
bug 7573: Zone page - Add Pod Dialog - fix a bug that duplicate newly pod node appears when zone node is close after add pod action succeeds.,bug fixing
[JavaPlayFramework] Add parameters for beanValidation in the application.conf + fix bugs (#6794),bug fixing
bug 10341: propagate fix for concurrentoperationexception from 2.2.8,bug fixing
new UI - fix a bug that action list get duplicate actions,bug fixing
HBASE-5228. [REST] Rip out transform feature,adding new features
CLOUDSTACK-6626: UI - fix a bug that g_userid was not declared.,bug fixing
Adds smart serialization of operation to optimize performance/reduce size,improving non-functional requirements
Change the features cards.,adding new features
Improve the performance of BeanManagerImpl.isProxyRequired,improving non-functional requirements
CLOUDSTACK-4199 Fixed redundant router fail over,bug fixing
"SONAR-5490 Improve readability and payload of results in the page ""Rules""",improving non-functional requirements
"bug 7608: fix a bug ""$editFields is undefined"" when visiting a non-editable page first.",bug fixing
new UI - domain page - restore listResourceLimits section since bug 6697 is fixed.,bug fixing
MAHOUT-1378: Running Random Forest with Ignored features fails when loading feature descriptor from JSON file,adding new features
#1633 Trying to improve performance,improving non-functional requirements
Rename scripts and fix a null point bug in InodeRawTable.java,bug fixing
bug 10759: fixed the bug in SqlGenerator - attributes weren't set right if GENERIC.DAO.REMOVED attribute was present in the list (happened for disk and service offerings),bug fixing
[DROOLS-1026] improve equals/hashCode performances for all rete nodes,improving non-functional requirements
map entry processor (executeOnKey feature),adding new features
integrating remoting jar with fix to the missing title.png problem,bug fixing
"not sure if this is it but this might fix #513 ""Immediate retry after failed svn checkout""",bug fixing
"Remove duplicated Class-Path entry, could fix bug 531505",commits that belong to no category
HADOOP-6166. Further improve the performance of the pure-Java CRC32,improving non-functional requirements
"naming conventions work, events improvements, integration testing work",improving non-functional requirements
adding notes about experimental features,adding new features
Fixed issue where we were getting the time of the wrong dir in path watch stacker runnable / Performance improvements checking if directory has an __init__ inside it.,improving non-functional requirements
"new UI - IP Address page - fix a bug that JS error ""$midmenuItem1 is null or not an object "", ""jsonObj is null or not an object"" when switching between tabs on an empty page.",bug fixing
CLOUDSTACK-3020: Fix assert error,bug fixing
"* Fixed error when using stdin as ""-"" is parsed by args4j which does not understand it;",bug fixing
"dead-9252: Remove duplicates getNfsVersion, refactor",commits that belong to no category
Clarify the cases where we hand-roll in the optimized subset of a save() and how config files are maintained,improving non-functional requirements
"apache jira CLOUDSTACK-86: cloudstack UI - Instances page - NICs tab - fix a bug that got networkname from a wrong position in array of args.context.instances[0].nic. To correct and simplify it, use API response of ""listVirtualMachines&details=nics&id=N"" instead of API response of ""listVirtualMachines&id=N"" in $.map().",bug fixing
HBASE-12740 Improve performance of TestHBaseFsck,improving non-functional requirements
bug 7960: the npe should be fixed with my previous fix. adding better logging and some exception handling,bug fixing
Add back reuse bitmap feature.,adding new features
bug 7271: Fixed an issue where async query commands continue to execute even after leaving the current page context.   This results in some weird UI behavior such as duplication or even items being added to the wrong pages.,bug fixing
Queue.clearLeftItems to fix AbstractProjectTest.testGetBuildAfterGC test failure after 84a2593.,bug fixing
"HIVE-16912 Improve table validator's performance against Oracle (Naveen Gangam, reviewed by Aihua Xu)",improving non-functional requirements
HIVE-13293: Cache RDD to improve parallel order by performance for HoS (Rui reviewed by Xuefu),improving non-functional requirements
[HUDSON-5391] Fixed the infamous Turkish bug.,bug fixing
"fixed issue849 using the fix suggested by treyy333, when calling setSize() and flip() together, the offsets were being used wrong, now they are divided by widthRatio/heightRatio before calling AtlasRegion.flip() inside AtlasSprite.flip() and they are multiplied again after the call.",bug fixing
WFLY-5698 Remove duplicate keys from clustering LocalDescriptions.properties; remove extraneous double spaces,commits that belong to no category
[FIXED JENKINS-10081] fixed the double escaping problem.,bug fixing
Improved testing/javadoc/argument-checking for the ClientService,improving non-functional requirements
"[mybatis] multi-db feature 2nd part readded, still in draft",adding new features
CS-15452: Fix wrong repsonse ID for s2s vpn,bug fixing
update IncrementalIndex to support unsorted facts map that can be used in groupBy merging to improve performance,improving non-functional requirements
"bug 11070: cloudStack - delete domain/IPAddress/SecurityGroup/snapshot/volume - fix a bug that an API error showed after account was deleted (""listxxxxxxx&id=N"")",bug fixing
Address Feature#105:Implement support for PLAYER_ANIMATION hook/event.,adding new features
CLOUDSTACK: 4635 - Fixed test case issues due to wrong indentation,bug fixing
CLOUDSTACK-8516: Fixed syntax errors and pep8 issues in testpath_storage_migration.py,bug fixing
[SMALLFIX] Fix a falling unit test MasterClientAuthenticationIntegrationTest which is expecting a wrong exception type,bug fixing
"Reorganized menu:
- Added Search menu containing all search and scan features incl web search
- Moved some items such as PDF/PS sync. into 'Legacy tools...' below Tools
- Reorganized items within Tools menu
- Updated a number of help files to reflect interface changes",adding new features
[TACHYON-1257] Fix bug FileSystemMaster causing FileSystemMasterIntegrationTest flaky,bug fixing
Add progress bar feature and samples.,adding new features
bug 10352: fixed the issue.  I mistakenly threw an exception when I was not suppose to,bug fixing
Minor testing improvements,improving non-functional requirements
carve out EC2Api/EC2AsyncApi for new features,adding new features
Remove test cases duplicated code.,commits that belong to no category
Fix exception listNetworks with pagesize=0,bug fixing
Remove duplicate field in constructor,commits that belong to no category
Refined new marking feature so old-style markings are unmarked as gracefully as possible.,adding new features
HIVE-2370. Improve RCFileCat performance significantly (Tim Armstrong via Ning Zhang),improving non-functional requirements
kvm: Fix a NullPointerException which occurs when storage pool creation fails,bug fixing
